epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4121,1.41817,1.30801,1.20621,0.6519,0.7149,0.72202,0.44787,1.38776,0.97143,1.17189,0.000414614,0.000414614,0.000414614
2,145.45,1.34803,0.94596,1.15257,0.7546,0.74153,0.79165,0.50454,1.31318,0.88663,1.14741,0.000814821,0.000814821,0.000814821
3,216.087,1.32876,0.90645,1.14463,0.72634,0.73625,0.77967,0.49837,1.32342,0.91441,1.14425,0.00119853,0.00119853,0.00119853
4,285.395,1.31543,0.87406,1.13921,0.78967,0.77969,0.82721,0.54318,1.278,0.81105,1.12981,0.00117575,0.00117575,0.00117575
5,355.487,1.30526,0.85342,1.13153,0.7882,0.74529,0.80573,0.53298,1.27183,0.83594,1.12884,0.001151,0.001151,0.001151
6,424.924,1.28773,0.82531,1.12419,0.79034,0.80243,0.85171,0.56702,1.26109,0.78055,1.11209,0.00112625,0.00112625,0.00112625
7,493.854,1.26839,0.80999,1.11369,0.79295,0.80449,0.85166,0.57203,1.25291,0.76377,1.1085,0.0011015,0.0011015,0.0011015
8,563.003,1.26594,0.79254,1.11128,0.82466,0.78316,0.85479,0.57559,1.23352,0.75451,1.10191,0.00107675,0.00107675,0.00107675
9,633.023,1.24792,0.77503,1.10695,0.8303,0.79243,0.86611,0.58833,1.22827,0.74602,1.10267,0.001052,0.001052,0.001052
10,702.306,1.24117,0.75613,1.10543,0.83505,0.80417,0.87064,0.58839,1.22527,0.72851,1.09735,0.00102725,0.00102725,0.00102725
11,772.02,1.22339,0.74838,1.09312,0.83472,0.82154,0.88594,0.60448,1.2085,0.70603,1.09094,0.0010025,0.0010025,0.0010025
12,841.522,1.22244,0.74038,1.0932,0.84442,0.80979,0.87548,0.60056,1.20666,0.70347,1.09468,0.00097775,0.00097775,0.00097775
13,910.643,1.20367,0.72393,1.08883,0.85537,0.82027,0.89097,0.61628,1.18511,0.68811,1.0829,0.000953,0.000953,0.000953
14,980.426,1.19783,0.71454,1.08283,0.85378,0.81939,0.88376,0.60269,1.20214,0.69641,1.08451,0.00092825,0.00092825,0.00092825
15,1050.97,1.19764,0.71122,1.08101,0.83253,0.83404,0.89104,0.61861,1.18959,0.67924,1.07934,0.0009035,0.0009035,0.0009035
16,1120.6,1.19305,0.70248,1.07823,0.84139,0.8291,0.8903,0.62023,1.1745,0.67492,1.0736,0.00087875,0.00087875,0.00087875
17,1189.69,1.18675,0.69358,1.07776,0.8437,0.82129,0.88846,0.61334,1.19593,0.66807,1.09125,0.000854,0.000854,0.000854
18,1258.71,1.18034,0.68636,1.0694,0.83849,0.84122,0.89721,0.62554,1.17399,0.66646,1.07556,0.00082925,0.00082925,0.00082925
19,1327.98,1.17971,0.68101,1.07585,0.861,0.83481,0.90404,0.6241,1.17993,0.64908,1.08337,0.0008045,0.0008045,0.0008045
20,1398.43,1.17471,0.67627,1.07162,0.81876,0.85788,0.89864,0.62585,1.17216,0.65547,1.06992,0.00077975,0.00077975,0.00077975
21,1468.47,1.14822,0.65973,1.06057,0.85964,0.83996,0.90536,0.63299,1.14902,0.63865,1.06481,0.000755,0.000755,0.000755
22,1537.65,1.15374,0.66415,1.0639,0.84327,0.85557,0.90562,0.63423,1.14252,0.63754,1.05869,0.00073025,0.00073025,0.00073025
23,1607.32,1.14963,0.65812,1.05794,0.85958,0.83777,0.9048,0.63687,1.15043,0.63638,1.06524,0.0007055,0.0007055,0.0007055
24,1676.93,1.14922,0.6457,1.05737,0.86732,0.83819,0.90224,0.63805,1.14896,0.63322,1.06265,0.00068075,0.00068075,0.00068075
25,1746.96,1.14495,0.64637,1.05962,0.83873,0.86723,0.90999,0.63974,1.14341,0.61884,1.06031,0.000656,0.000656,0.000656
26,1817.02,1.13332,0.63047,1.04991,0.86079,0.85132,0.91135,0.64752,1.1353,0.61771,1.05505,0.00063125,0.00063125,0.00063125
27,1886.09,1.13185,0.63044,1.0511,0.87648,0.8374,0.91159,0.64779,1.13249,0.61573,1.05454,0.0006065,0.0006065,0.0006065
28,1955.64,1.12962,0.63291,1.05097,0.8713,0.84382,0.9174,0.6555,1.1319,0.60034,1.05281,0.00058175,0.00058175,0.00058175
